code_index,embedding_size,code_characteristics,detected_patterns,patterns_count,pattern_confidence,model
0,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 1130, 'line_count': 39}",['Event-Driven Architecture'],1,0.1,CodeBERT
1,0,{},[],0,0.0,CodeBERT
2,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 73}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
3,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 79}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
4,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 23, 'line_count': 2}",[],0,0.0,CodeBERT
5,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 77}",['Event-Driven Architecture'],1,0.1,CodeBERT
6,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 1634, 'line_count': 57}",['Event-Driven Architecture'],1,0.1,CodeBERT
7,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 975, 'line_count': 53}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
8,0,{},[],0,0.0,CodeBERT
9,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 61}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
10,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 28, 'line_count': 2}",[],0,0.0,CodeBERT
11,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 336, 'line_count': 13}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
12,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 188, 'line_count': 8}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
13,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 73, 'line_count': 3}",[],0,0.0,CodeBERT
14,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 269, 'line_count': 12}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
15,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 116, 'line_count': 6}",['Procedural Architecture'],1,0.1,CodeBERT
16,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 63}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
17,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 70}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
18,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 178, 'line_count': 5}",[],0,0.0,CodeBERT
19,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 329, 'line_count': 15}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
20,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 34, 'line_count': 2}",['Event-Driven Architecture'],1,0.1,CodeBERT
21,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 58}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
22,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 28, 'line_count': 2}",[],0,0.0,CodeBERT
23,0,{},[],0,0.0,CodeBERT
24,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 69}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
25,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 78}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
26,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 65}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
27,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 1939, 'line_count': 59}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
28,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 63}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
29,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 70}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
30,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 166, 'line_count': 7}",[],0,0.0,CodeBERT
31,768,"{'has_functions': False, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 91}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
32,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 27, 'line_count': 2}",['Event-Driven Architecture'],1,0.1,CodeBERT
33,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 335, 'line_count': 17}",['Layered Architecture'],1,0.1,CodeBERT
34,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 57}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
35,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 1719, 'line_count': 64}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
36,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 72}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
37,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': False, 'has_models': False, 'code_length': 187, 'line_count': 5}",[],0,0.0,CodeBERT
38,768,"{'has_functions': False, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 47}",['Event-Driven Architecture'],1,0.1,CodeBERT
39,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 65}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
40,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 65}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
41,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 59}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
42,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': True, 'code_length': 2000, 'line_count': 63}","['Event-Driven Architecture', 'Layered Architecture', 'Repository Architecture']",3,0.3,CodeBERT
43,768,"{'has_functions': True, 'has_classes': True, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 64}","['Event-Driven Architecture', 'Layered Architecture']",2,0.2,CodeBERT
44,768,"{'has_functions': True, 'has_classes': False, 'has_imports': True, 'has_apis': False, 'has_events': True, 'has_models': False, 'code_length': 2000, 'line_count': 55}","['Event-Driven Architecture', 'Procedural Architecture']",2,0.2,CodeBERT
