text_index,architectural_entities,total_arch_entities,pattern_indicators,most_likely_pattern,model
0,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
1,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
2,"[{'entity': '##TT', 'type': 'ORG', 'score': 0.35921257734298706, 'relevance': 'BAIXA'}, {'entity': 'LL', 'type': 'MISC', 'score': 0.9045822024345398, 'relevance': 'ALTA'}, {'entity': 'English', 'type': 'MISC', 'score': 0.9984056353569031, 'relevance': 'ALTA'}, {'entity': 'Chinese', 'type': 'MISC', 'score': 0.9991864562034607, 'relevance': 'ALTA'}, {'entity': 'B', 'type': 'ORG', 'score': 0.8190457820892334, 'relevance': 'MÉDIA'}, {'entity': '##bili', 'type': 'ORG', 'score': 0.7034397125244141, 'relevance': 'MÉDIA'}, {'entity': '##TT', 'type': 'ORG', 'score': 0.3485383093357086, 'relevance': 'BAIXA'}]",7,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
3,"[{'entity': 'Chinese', 'type': 'MISC', 'score': 0.9997748732566833, 'relevance': 'ALTA'}, {'entity': 'English', 'type': 'MISC', 'score': 0.9997590184211731, 'relevance': 'ALTA'}, {'entity': 'D', 'type': 'MISC', 'score': 0.6864782571792603, 'relevance': 'BAIXA'}]",3,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
4,"[{'entity': 'CC BY', 'type': 'MISC', 'score': 0.7763137817382812, 'relevance': 'MÉDIA'}, {'entity': 'NC', 'type': 'ORG', 'score': 0.6396139860153198, 'relevance': 'BAIXA'}, {'entity': '4', 'type': 'MISC', 'score': 0.5622183084487915, 'relevance': 'BAIXA'}, {'entity': '0', 'type': 'MISC', 'score': 0.7997245192527771, 'relevance': 'MÉDIA'}]",4,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
5,"[{'entity': 'G', 'type': 'ORG', 'score': 0.610342800617218, 'relevance': 'BAIXA'}, {'entity': '##H', 'type': 'ORG', 'score': 0.6525795459747314, 'relevance': 'BAIXA'}, {'entity': 'QQ Group', 'type': 'ORG', 'score': 0.9480255246162415, 'relevance': 'ALTA'}, {'entity': 'Chinese Social AP', 'type': 'ORG', 'score': 0.7669408917427063, 'relevance': 'MÉDIA'}]",4,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
6,"[{'entity': 'Linux', 'type': 'MISC', 'score': 0.5339711308479309, 'relevance': 'BAIXA'}, {'entity': 'TransformerE', 'type': 'MISC', 'score': 0.9256088137626648, 'relevance': 'ALTA'}, {'entity': '##A', 'type': 'MISC', 'score': 0.7471738457679749, 'relevance': 'MÉDIA'}, {'entity': 'N', 'type': 'ORG', 'score': 0.5559942126274109, 'relevance': 'BAIXA'}, {'entity': '##DIA', 'type': 'ORG', 'score': 0.4095551371574402, 'relevance': 'BAIXA'}]",5,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
7,"[{'entity': 'Web', 'type': 'ORG', 'score': 0.4366721510887146, 'relevance': 'BAIXA'}, {'entity': 'Line', 'type': 'MISC', 'score': 0.681065559387207, 'relevance': 'BAIXA'}, {'entity': 'P', 'type': 'ORG', 'score': 0.9188011884689331, 'relevance': 'ALTA'}, {'entity': '##PI', 'type': 'ORG', 'score': 0.6697216629981995, 'relevance': 'BAIXA'}, {'entity': 'GitH', 'type': 'ORG', 'score': 0.7264623641967773, 'relevance': 'MÉDIA'}]",5,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
8,"[{'entity': 'Gaussian', 'type': 'MISC', 'score': 0.8498037457466125, 'relevance': 'MÉDIA'}]",1,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
9,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
